,0
83,"‘앵그리버드를 AR로’ SKT, 5G-AI-IoT 활용 콘텐츠 공개"
84,SKT AI스피커 '누구'에서 '아프리카TV 팟캐스트' 듣는다
85,"SKT·서울시, 자율주행인프라 '실시간 초정밀도로지도' 공동개발"
86,"SKT, 독거노인 2100명에 AI스피커 보급..ICT 돌봄 지원(종합)"
87,"SKT 보이는 AI 스피커, 스마트홈·영상 통화 기능은 아직···"
88,"SKT,  아시아 어워드 7개 부문 수상"
89,"서울시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
90,"SKT, 보이는 AI스피커 '누구 네모' 첫 출시"
91,"SKT-서울시, HD맵 실시간 업데이트 기술 실증 협약 체결"
92,"SKT-MS, ICT 분야 포괄적 협력 합의..""게임 체인저 발굴"""
93,"SKT, 보이는 AI스피커 ‘누구 네모’ 출시···출고가 19만9천원"
94,"SKT·서울시, 하반기 대중교통에 5G 기술 세계 첫 적용"
95,"SKT, 듣고 보는 AI스피커 ‘누구 네모’로 키즈시장 공략"
96,"SKT, AI기반 미디어 품질개선 솔루션 개발"
97,AI로 저화질 사진 생생하게…미디어 품질 높이는 SKT '슈퍼노바'
98,빛난 '글로벌 리더십' 호 SKT사장..부활한 MS와 사업협력 '물꼬'
99,"“이제는 본다”… SKT, 보이는 AI스피커 ‘누구 네모’ 출시"
100,"SKT-서울시, HD맵 실시간 업데이트 기술 실증 협약 체결"
101,"SK, 서울시와 5G·AI로 완전자율주행 시대 앞당긴다"
102,"SKT, 보이는 AI 스피커 시대 개막...7인치 화면 탑재 '누구 네모' 출시"
103,"""이제 스피커도 보는 시대""…SKT, 보이는 AI 스피커 '누구 네모' 선..."
104,SKT AI 미디어 솔루션 '슈퍼노바' MWC서 공개
105," 구글·아마존 세상, 한국산 AI 생존 가능할까…KT·SKT, AI..."
106,"SKT, 디스플레이 탑재형 AI 스피커 '누구 네모' 출시"
107,"SKT, 디스플레이 탑재형 AI 스피커 '누구 네모' 출시"
108,"SKT, 디스플레이 탑재 AI 스피커 출시…듣는 시대에서 보는 시대로"
109,"""이 음악 어때요"".. 독거노인 말동무 AI스피커"
110,"SKT, 화면 탑재 AI스피커 ‘누구 네모’ 출시…‘보여주고 말하는 ..."
111,"SKT, AI '슈퍼노바' MWC서 공개..반도체 품질평가·영상 화질 개선 ..."
112," SKT, 보이는 AI스피커 ‘누구 네모’ 출시"
113,AI스피커 제조사 음질 경쟁..왜?
114,"서울시-SKT, 자율주행 인프라 '실시간 초정밀도로지도' 공동개발"
115,"SKT-MS, '5G+클라우드' 협력..호 SKT 사장 ""게임 체인저 선보일..."
116,"SK-서울시, 5G와 AI로 완전자율주행 시대 앞당긴다"
117,"SKT-연세대 의료원, 국내 첫 5G 병원 구축"
118,'SKT 5GX 슈퍼노바' 퀴즈 맞히고 에어팟 받자
119,"서울시-SKT, 자율주행 필수 인프라 '실시간 초정밀도로지도' 공동개발"
120,'MWC19 개막 축하하는 SKT AI로봇'
121,"""AI, 사물인터넷 등 첨단기술 보험산업을 뒤바꾼다"""
122,"병실에 AI스피커...SKT-연세의료원, 국내 첫 '5G 디지털혁신병원' 연다"
123,'SKT 5GX 슈퍼노바' 2시 이벤트 종료.. 추첨 응모는 가능
124,"SKT-서울시, 자율주행 앞당긴다...버스·택시에 5G 적용"
125,"SM-SKT, AI 기반 음원 분리 기술 사업 '맞손'"
126,"SKT·MS 손잡고 ""첨단 ICT 협력"""
127,SKT·카카오가 접은 사업으로…
128,"SKT, '누구 콜' 서비스 출시"
129, 클라우드의 힘은 데이터센터에서부터
130,"SKT, AI 미디어 솔루션 '슈퍼노바' 공개"
131,"현대차-SKT, 고객 응대용 AI 로봇 만들기로"
132,24시간 상담부터 판매까지..내년 AI 보험 설계사 뜬다
