,0
96, 숙의 네트워크
97,KB금융· 손잡고 금융AI스피커 개발한다
98,"-LGU+, 장애인 위한 AI 접근성  확대"
99," 뉴스 추천, 4일부터 AI가 합니다"
100,"'AI 연구개발 공유' AI 콜로퀴움 2019, 다음달 5일 개최"
101, 뉴스 사람 편집 없애고 AI로 완전 대체한다
102,"KB금융, 와 금융 AI 비즈니스 사업제휴"
103,·라인·컴투스 등 IT·게임사 '여름 인턴' 모집
104,KB금융- 와 AI 비즈니스 제휴
105,"LG전자, 가정용 AI 로봇 ‘LG 클로이’ 16일부터 판매"
106,"KB금융, 와 금융 AI 비즈니스 사업제휴"
107,·라인·컴투스 등 IT·게임사 '여름 인턴' 모집
108,·라인·컴투스 등 IT·게임사 '채용형 여름 인턴' 모집
109,"-LGU+, 지체 장애인에 AI스피커 등 전달"
110,", AI 기술·노하우 공유하는 학술대회 개최"
111,"KB금융, 와 금융 AI 비즈니스 사업제휴"
112,"KB금융-, 금융 AI 프로젝트 추진"
113,", 세계 딥러닝 학회 ICLR 참가..클로바 핵심기술 담은 논문 발표"
114,"·LGU+ ""AI 기술 통해 지체 장애인 삶의 질 개선"""
115,", 새로운 AI 검색 기술 공개한다"
116,", 'AI 콜로키움'에 전 세계 산·학계 인공지능 연구진 총집합"
117,"KB금융, 와 금융AI 비즈니스 사업제휴"
118,"KB금융-, ‘금융 AI’ 사업제휴"
119,KB금융- '금융 AI 비즈니스 MOU' 체결
120,""", 지역언론 차별 말고 대화에 나서라"""
121,"""기술노하우 공유""…, AI콜로키움 4월5일 개최"
122,", 로보틱스·AI 기술 스타트업 2곳에 투자"
123," AI 스피커, 말로 보고 눈으로 듣는다"
124,"루나소프트,  투자 유치..이커머스 분야 협업"
125,"KB금융-, 금융AI 비즈니스 '맞손'"
126,AI가 편집한  뉴스..일평균 페이지뷰 69% 증가했다
127,"KB금융-, 금융 AI 비즈니스 사업 제휴"
128,"KB금융-, 금융 AI 비즈니스 사업제휴"
129,", 로봇관리·AI의료영상분석 스타트업 2곳 투자"
130, 3년 연속 ICLR 등판
131,", ‘ICLR 2019’서 딥러닝 연구 성과 공개"
132,"KB금융-, 금융 AI 비즈니스 사업 제휴"
133,"우리은행,  라인과 AI 기술 협업"
134, AI 콜로키움 내달 5일 개최…AI개발자와 학계 정보공유 학술...
135,간편결제 '부정거래' 국내 기술로 잡는다..'AI 레그테크' 상용화
136,"KB금융-, 금융 AI 비즈니스 사업 제휴"
137,"KB금융-, 금융 AI 비즈니스 사업제휴"
138,"LG '알렉사' 품은 스마트TV 출시…""AI 동맹 확산"""
139,일반인 중 ' 목소리 뽑는다'..음성합성 개인·대중화 '성큼'
140,"KB금융·, 금융 AI 비즈니스 사업제휴"
141,"KB금융-, 금융 AI 비즈니스 프로젝트로 손잡는다"
142,", AI기술·노하우 공유의 장 연다"
143,", 딥러닝 콘퍼런스 'ICLR 2019'서 연구 성과 공개"
144,"KB금융, 와 손잡았다..금융 AI 비즈니스 확대"
145,"우리은행,  라인과 'AI 공동 랩' 신설"
146," D2SF, ‘로보틱스-AI’ 기술 스타트업 투자"
147,", 국내 학계·업계 AI 기술 공유로 국내 AI 생태계 강화"
148, KB금융 와 금융 AI 사업 제휴
149,"새로운 , 오디오 뉴스도 인공지능(AI)이 추천?"
150,", AI 연구자 대상 ‘NAVER AI 콜로키움’ 개최"
