,0
0,도입 6개월만에 안착 연 2만4000시간 ...
1,로봇에 업무 맡기니 2만 시간 절약..의  혁신
2,", RPA 정착으로 혁신 가속화"
3," 철號, 혁신 성과 가시화"
4,", 로봇 프로세스 자동화로 업무시간 단축"
5,", 1분기 순익 4473억원..전년 대비 14.7%↑"
6,"""우리가 남이가?"" , 전자-제일기획 팔고 ‘바이오..."
7,", RPA 정착...연 2만4천시간 절약"
8," ""사랑 릴레이로 자살 예방 기부하세요"""
9,", ‘PRA 프로젝트’ 6개월...연간 2만4000시간 절약"
10,", 로봇 'RPA' 도입 반년 만에 연 2만4000시간 절약"
11,", 총 5000만원 상금 '제1회 전국 탁구클럽 대축제' 개최"
12,"신한은행 퇴직연금, 현재보다 미래가 더 기대되는 이유"
13," 철  사장, 글로벌 일류 도약 '5대 플..."
14," ""RPA 도입후 2만4000시간 절약"""
15,"​, 단순업무에 RPA 도입해 연간 2만 시간 절약"
16,"""파괴적 혁신하려면 금융 - 핀테크社 협업해야"""
17," 이재웅 vs 최종구, 서로 다른 혁신론 ‘팽팽’"
18, “RPA 도입 6개월만에 年 2만4000시간 절약”
19,핀테크 행사 깜짝 강연자로 나선 원기찬 카드 사장
20, '청소년 미술대회' 첫  심사
21," 로봇 자동화 도입 6개월..연 2만4,000시간 절약"
22,", 업무자동화로 年 24,000시간 절약"
23,"디레몬, 사 자동보장분석 '레몬브릿지' 서비스 고도화"
24,"의  혁신 만드는 디레몬..""마이데이터 시대 이끈다"""
25, 사 미래 인슈어테크에 달렸다.
26,"""이 생각하는  전환은""..SDS, 8년만에 대형 IT 콘퍼런스"
27,"""이색상품·블록체인·금 지급""..사 인슈어테크 이모저모"
28,", 보장금액 증액서비스 실시"
29,"우정사업본부, '우체국 뉴스룸24' 통해 국민과 친근한 소통"
30,내달 14일  GSAT ... 등 금융계열사  금융직 눈길
31,"""약관 어렵게 써놓고 책임회피""..사 작심비판한 윤석헌"
32,'개인 맞춤형' 헬스케어 서비스 늘리는 사들
33,‘심증이 확증’으로 ··  총수 되기 위해 ‘이재용’ 직접 챙...
34,주52시간제 두 달 남은 업계…'RPA'가 해답?
35,주 52시간제 발맞춰 사도 ‘RPA 시스템’으...
36,'변해야 산다'  CEO '인슈어테크' 혁신 바람-로봇이 심사·...
37,"원광대, '술수학 포럼 2019' 개최"
38,", 비대면 실명인증 서비스 도입"
39,"사 해외 인수합병 확대 조건..""채권 등 자금조달 규제 완화해야"""
40," , 약관 문자로..AI챗봇이 대출상담"
41,김정남 DB손해 사장  혁신…내년 1월부터 AI설계사 ...
42,특집-업무 자동화 '바람'‧‧‧올해 더 거세다
43,희비 갈린 한화 금융계열사 성적표… '흐림'·증권 '맑음'
44,"차남규·여승주 이끄는 한화, '생보 2위' 지위 '먹구름'"
45," 백윤기 모친, 서민석 부친, 한효진 부친, 손권희"
46,DB손보·KB손보·…‘사 RPA 도입’ 기대와 우려
47,"전자, QLED 8K TV  '청소년 미술대회' 심사 활용"
48,"사들 저출산·저금리·규제 여파 순이익 급감, 1분기 순익 올해..."
49,·카드사도 로봇 바람…RPA 도입 박차
50,"사 취업, 직무이해 높고 '핀테크'까지 갖추면 금상첨화"
51, 스마트 서비스(Smart Service)로 초 연결(hyper-connect...
52,"(대한민국 재벌 신뢰지수) KB국민은행, 2년 연속 신뢰하는 은행 1위"
53," , '혁신'으로 업계 불황 넘는다"
54,", 새 먹거리 인슈어테크에 ‘통 큰 투자’"
55,"윤석헌 ""국내 금융포용 미흡…분쟁 적극 대응""(종합)"
56,", 금융인공지능센터 세워 전문가 끌어 모은다 "
57, 박용진 “시...
58," ""단순·반복 업무는 가라!""…RPA바람"
59,5월 15일 주요공시
60,"SDS, ""삼바 분식회계 은폐 개입, 있을 수 없는 일""…내부거래 ..."
61, 스포츠의 그룹
62,"세계선수권대회 '안재현 동메달 수확' 탁구 대표팀, 30일 귀국"
63,·화재 면접 '핀테크' 질문 대비를
64," 2금융권, 로봇 ‘RPA’ 도입 경쟁...이면엔 일자리 감소 우려"
65," 다이렉트, 료 계산만 해도 모바일 커피 쿠폰 추첨"
66,"솔리드웨어, 오는 14일  특화 인공지능 행사 개최"
67,"'김한별이 끝냈다' , 우리은행 꺾고 챔프전 진출"
68,"여자농구 KB-, 13년 만에 챔피언전 '재격돌'"
69,“알아서 척척”금융권 로봇 RPA 속도전...실제 효율성은?
70," ·카드사, 취약계층 자립 돕는다"
71,"우리은행, 11점 차 뒤집고  제압..PO 1차전 승리"
72,사외이사 '그들만의 리그' | 親정부×권력기관 출신 인기 여전 IT·...
73,"""JY 소환될까""…'분식회계' 의혹 삼바 자회사 팀장 자택서 '공용서..."
74," 철  사장, 계열사 두루 거친 '재무통'"
75,"""라떼는 말이야~"" 요즘 인싸라면 다 안다는 그 말"
76,여자농구 PO 우리은행 vs  14일 격돌 '두 판에 끝낸다'
77,", 벤처투자의 신기술투자조합에 495억 출자"
78,"여승주 한화 대표, 덧셈경영으로 '차남' 지원사격"
79,", 청소년 미술대회 개최..4월5일까지 접수"
80,육아휴직 아빠·직장구하는 할머니..시대 변하니 광고도 변한다
81,“사 면접 준비할 때 직무에 대한 이해와 핀테크 지식 필수”
82,", 저해지환급형 종신 2종 출시"
83,미술대회 작품 심사도  QLED 8K로
84,", 청소년 미술대회 개최..4월5일까지 접수"
85,",  부문 경력사원 채용···9월 21일 접수마감"
86,", 39회 청소년 미술대회 개최"
87, '청소년 미술대회' 내달5일까지 학생 예선 접수
88,", 여자프로농구 2군 리그 우승..김나연 MVP"
89,미술대회 작품 심사도 전자 QLED 8K로!
90," QLED 8K TV, ‘청소년 미술대회’ 심사에 활용된다"
91,"박지현 첫 풀타임..우리은행, 미리 보는 PO서  제압"
92," QLED 8K, 미술대회 작품 심사에도 활용"
93, QLED 8K로 미술대회 작품 심사까지…
94,25개국 폐휴대전화 수거 .. 의 친환경 캠페인
95,"'25개국서 폐휴대전화 수거'.., 세계 '녹색경영' 캠페인"
96,"'박지수 26득점' 국민은행,  꺾고 먼저 웃었다"
